"SPECIES: common name","Tilapia, cichlid"
"SPECIES: Latin  name","Oreochromis spilurus"
"RETINAL CELL TYPE NAME: as published","outer alpha (alpha-a) RGCs"
"OTHER MOSAICS in same sampling field","biplexiform"
"PRIMARY CITATION for these mosaics","Cook and Becker (1991) J Comp Neurol 306: 668-684"
"MOSAIC/FIELD-BORDER: published fig(s)","data in Fig 8C"
"RETINAL LOCATION of sampling field","almost all"
"NUMBER OF CELLS",258
"AREA OF SAMPLED FIELD (sq mm)",19.62
"TOTAL RETINAL AREA (sq mm)",22.21
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Fish of standard length 51 mm, right eye HRP-labelled from optic nerve"
"X","Y"
 4464 , 9388 
 4999 , 9238 
 4065 , 9218 
 4315 , 9169 
 4633 , 9144 
 4902 , 9044 
 3901 , 8906 
 4393 , 8887 
 5164 , 8831 
 2605 , 8744 
 2109 , 8693 
 4780 , 8612 
 4019 , 8593 
 4538 , 8559 
 5812 , 8557 
 5240 , 8528 
 2708 , 8389 
 4253 , 8340 
 4703 , 8335 
 5633 , 8330 
 3887 , 8309 
 1981 , 8299 
 5074 , 8292 
 2428 , 8253 
 5753 , 8127 
 2787 , 8113 
 2244 , 8104 
 5480 , 8067 
 4338 , 8058 
 4051 , 8053 
 6950 , 8050 
 4805 , 8037 
 5060 , 7998 
 2577 , 7974 
 6647 , 7969 
 2025 , 7950 
 1504 , 7892 
 6342 , 7840 
 2336 , 7828 
 4591 , 7823 
 1776 , 7812 
 5260 , 7803 
 6750 , 7796 
 4310 , 7795 
 6109 , 7715 
 4873 , 7707 
 2603 , 7688 
 6494 , 7655 
 2979 , 7602 
 1347 , 7600 
 5467 , 7599 
 6978 , 7587 
 5138 , 7579 
 4512 , 7564 
 1969 , 7536 
 3953 , 7529 
 7261 , 7510 
 6654 , 7508 
 4690 , 7506 
 1613 , 7493 
 3251 , 7491 
 2203 , 7490 
 5680 , 7486 
 2555 , 7399 
 6115 , 7398 
 5005 , 7385 
 6326 , 7374 
 7081 , 7367 
 3520 , 7348 
 5784 , 7322 
 5512 , 7317 
 4377 , 7315 
 1285 , 7283 
 4102 , 7257 
 1837 , 7214 
 3844 , 7213 
 3183 , 7193 
 4728 , 7169 
 904 , 7168 
 6570 , 7167 
 2733 , 7161 
 6241 , 7146 
 6877 , 7144 
 2122 , 7138 
 1513 , 7124 
 7145 , 7116 
 3649 , 7104 
 7432 , 7083 
 5940 , 7047 
 2346 , 7042 
 4862 , 7030 
 4373 , 7025 
 5688 , 7015 
 1247 , 7002 
 4006 , 6978 
 1754 , 6962 
 4634 , 6954 
 2840 , 6938 
 3183 , 6936 
 7016 , 6914 
 5022 , 6892 
 4154 , 6857 
 6027 , 6856 
 2093 , 6852 
 6463 , 6841 
 5301 , 6823 
 1116 , 6820 
 2378 , 6813 
 3649 , 6804 
 3455 , 6798 
 1489 , 6794 
 6748 , 6786 
 7387 , 6785 
 4837 , 6751 
 3883 , 6690 
 4565 , 6679 
 4162 , 6644 
 1764 , 6632 
 5875 , 6618 
 3000 , 6614 
 5190 , 6603 
 2721 , 6598 
 6534 , 6581 
 6937 , 6577 
 4649 , 6548 
 7326 , 6520 
 2192 , 6512 
 1221 , 6508 
 916 , 6505 
 3455 , 6498 
 3970 , 6482 
 3225 , 6481 
 3781 , 6463 
 6208 , 6444 
 1920 , 6403 
 5114 , 6386 
