"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","visual streak only"
"NUMBER OF CELLS",415
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Visual streak, AOS-projecting RGCs, HRP-labelled from nBOR, yielding a DRP similar to Fig 3D but on a smaller scale (see Methods)"
"X","Y"
 9335 , 12988 
 8493 , 12779 
 9197 , 12661 
 7990 , 12511 
 8467 , 12475 
 8302 , 12454 
 8742 , 12453 
 8036 , 12387 
 8204 , 12316 
 9211 , 12288 
 8356 , 12268 
 8247 , 12244 
 8130 , 12221 
 8687 , 12219 
 8396 , 12140 
 8233 , 12138 
 7859 , 12049 
 9276 , 12012 
 8922 , 12001 
 8195 , 11983 
 7994 , 11973 
 7489 , 11942 
 8810 , 11939 
 9315 , 11905 
 7792 , 11873 
 6737 , 11852 
 6878 , 11851 
 8590 , 11804 
 7889 , 11751 
 7248 , 11696 
 9029 , 11679 
 7349 , 11655 
 8293 , 11630 
 6258 , 11624 
 8706 , 11623 
 7904 , 11622 
 8140 , 11620 
 7677 , 11607 
 6888 , 11603 
 7522 , 11600 
 7175 , 11563 
 6797 , 11543 
 6000 , 11531 
 8955 , 11512 
 8380 , 11482 
 8063 , 11478 
 9020 , 11462 
 8652 , 11456 
 8375 , 11437 
 8568 , 11435 
 6229 , 11429 
 5901 , 11414 
 8137 , 11398 
 7289 , 11373 
 7036 , 11337 
 6681 , 11321 
 7450 , 11313 
 5998 , 11307 
 7724 , 11305 
 7612 , 11258 
 5495 , 11243 
 8560 , 11241 
 6033 , 11227 
 6526 , 11218 
 5526 , 11158 
 5686 , 11156 
 5473 , 11143 
 6370 , 11142 
 8270 , 11140 
 7237 , 11133 
 6361 , 11130 
 6605 , 11124 
 6731 , 11102 
 5368 , 11100 
 7694 , 11095 
 7795 , 11091 
 6251 , 11068 
 7993 , 11063 
 5727 , 11039 
 8257 , 11021 
 5438 , 10993 
 5265 , 10939 
 5262 , 10920 
 7999 , 10903 
 7755 , 10898 
 7583 , 10848 
 6533 , 10823 
 4849 , 10808 
 6041 , 10797 
 7318 , 10787 
 7407 , 10777 
 6980 , 10772 
 7257 , 10766 
 7245 , 10756 
 6672 , 10729 
 6154 , 10718 
 7262 , 10714 
 4513 , 10701 
 6885 , 10684 
 7046 , 10682 
 4991 , 10678 
 5612 , 10666 
 7712 , 10664 
 6221 , 10658 
 7508 , 10646 
 4317 , 10638 
 5701 , 10635 
 4805 , 10634 
 6020 , 10627 
 5075 , 10580 
 5505 , 10559 
 7554 , 10555 
 6704 , 10546 
 4207 , 10540 
 4785 , 10519 
 7681 , 10497 
 5802 , 10479 
 6072 , 10474 
 6884 , 10473 
 7464 , 10435 
 6033 , 10433 
 7283 , 10430 
 6751 , 10428 
 5207 , 10427 
 7118 , 10420 
 4957 , 10389 
 7470 , 10376 
 4359 , 10360 
 5329 , 10349 
 5932 , 10342 
 6824 , 10333 
 6157 , 10331 
 5611 , 10328 
 4552 , 10323 
 5812 , 10322 
 3669 , 10322 
 7216 , 10322 
 6603 , 10314 
 6123 , 10308 
 4156 , 10308 
 5335 , 10300 
 4273 , 10275 
 3764 , 10270 
 5922 , 10260 
 6447 , 10248 
 7330 , 10226 
 7191 , 10215 
 4762 , 10214 
 6246 , 10203 
 6359 , 10185 
 7245 , 10182 
 7136 , 10169 
 5742 , 10168 
 3815 , 10154 
 3666 , 10151 
 5417 , 10136 
 4223 , 10131 
 4756 , 10088 
 3203 , 10086 
 6234 , 10079 
 5752 , 10067 
 6868 , 10064 
 3313 , 10043 
 5744 , 10039 
 6438 , 10014 
 6515 , 10012 
 7008 , 10003 
 7183 , 10003 
 3406 , 9998 
 3079 , 9985 
 6445 , 9937 
 6606 , 9927 
 2893 , 9916 
 3490 , 9897 
 5533 , 9860 
 6181 , 9820 
 3636 , 9811 
 5609 , 9795 
 4830 , 9793 
 3251 , 9792 
 4157 , 9774 
 6419 , 9769 
 5285 , 9769 
 3506 , 9766 
 4009 , 9757 
 3158 , 9753 
 7134 , 9751 
 4399 , 9743 
 6187 , 9740 
 3524 , 9720 
 6163 , 9715 
 4593 , 9714 
 6883 , 9698 
 4775 , 9682 
 3011 , 9671 
 5857 , 9637 
 5724 , 9625 
 5667 , 9619 
 3196 , 9611 
 5951 , 9586 
 2808 , 9584 
 3201 , 9569 
 6282 , 9567 
 6064 , 9561 
 3456 , 9556 
 5777 , 9551 
 4940 , 9534 
 2602 , 9531 
 6599 , 9523 
 5264 , 9521 
 3348 , 9518 
 6330 , 9496 
 6387 , 9470 
 4556 , 9461 
 5421 , 9456 
 2826 , 9451 
 2349 , 9440 
 5862 , 9432 
 5812 , 9428 
 2935 , 9405 
 1973 , 9376 
 4384 , 9373 
 6426 , 9373 
 3526 , 9354 
 6061 , 9352 
 1824 , 9347 
 3225 , 9334 
 3953 , 9332 
 4330 , 9326 
 2299 , 9320 
 4196 , 9314 
 2476 , 9312 
 6409 , 9302 
 5938 , 9265 
 4596 , 9260 
 5904 , 9243 
 1965 , 9241 
 3705 , 9235 
 2837 , 9219 
 5862 , 9218 
 4439 , 9206 
 5598 , 9199 
 3412 , 9198 
 5740 , 9197 
 5244 , 9195 
 4900 , 9190 
 2642 , 9185 
 5351 , 9184 
 3168 , 9163 
 3753 , 9162 
 5469 , 9156 
 6186 , 9156 
 2220 , 9154 
 4145 , 9129 
 3550 , 9129 
 3859 , 9116 
 5937 , 9094 
 5036 , 9089 
 5897 , 9089 
 3248 , 9084 
 3921 , 9074 
 5542 , 9057 
 5348 , 9057 
 3425 , 9043 
 2918 , 9042 
 1572 , 9040 
 4451 , 9039 
 3108 , 9033 
 5724 , 9017 
 1664 , 9004 
 3872 , 9000 
 3078 , 8991 
 5113 , 8972 
 2312 , 8964 
 4903 , 8962 
 4742 , 8961 
 3190 , 8952 
 2185 , 8948 
 1344 , 8945 
 2695 , 8942 
 3623 , 8936 
 3755 , 8934 
 2194 , 8923 
 2834 , 8903 
 5391 , 8902 
 4499 , 8894 
 5240 , 8876 
 4968 , 8875 
 1150 , 8871 
 3259 , 8868 
 4829 , 8833 
 1730 , 8828 
 1527 , 8820 
 2853 , 8807 
 2962 , 8790 
 3871 , 8786 
 5381 , 8784 
 3137 , 8784 
 4614 , 8781 
 4986 , 8781 
 2246 , 8770 
 3778 , 8765 
 875 , 8764 
 2727 , 8760 
 4394 , 8735 
 3990 , 8732 
 4865 , 8707 
