"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","alpha-a"
"OTHER MOSAICS in same sampling field","alpha-ab"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7A, Table 1"
"RETINAL LOCATION of sampling field","left eye, dorsal region"
"NUMBER OF CELLS",73
"AREA OF SAMPLED FIELD (sq mm)",2.580
"TOTAL RETINAL AREA (sq mm)",27.85
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND and correlogram/DRP analysis data"
"X","Y"
 5497 , 6785 
 6103 , 6735 
 4934 , 6661 
 5938 , 6631 
 5545 , 6625 
 4698 , 6616 
 4488 , 6566 
 6688 , 6491 
 4892 , 6486 
 5829 , 6482 
 5029 , 6480 
 5501 , 6474 
 6167 , 6469 
 5279 , 6455 
 4251 , 6455 
 6421 , 6452 
 4511 , 6376 
 3930 , 6352 
 5362 , 6337 
 6825 , 6324 
 5993 , 6317 
 6163 , 6284 
 4741 , 6281 
 6657 , 6277 
 4119 , 6276 
 4407 , 6268 
 5796 , 6265 
 6452 , 6225 
 3801 , 6153 
 6225 , 6148 
 4609 , 6145 
 6011 , 6145 
 5370 , 6144 
 6811 , 6141 
 5740 , 6125 
 7107 , 6125 
 4304 , 6119 
 4812 , 6112 
 5857 , 6072 
 6619 , 6059 
 6448 , 6028 
 6898 , 6028 
 4442 , 6028 
 5272 , 6019 
 6157 , 6019 
 3906 , 5986 
 5552 , 5976 
 6295 , 5948 
 5022 , 5944 
 5846 , 5932 
 4664 , 5908 
 6815 , 5889 
 5426 , 5862 
 4896 , 5826 
 6671 , 5797 
 5255 , 5793 
 6454 , 5785 
 5607 , 5780 
 4218 , 5779 
 5779 , 5777 
 5089 , 5755 
 6076 , 5743 
 4715 , 5738 
 4464 , 5722 
 6802 , 5655 
 7183 , 5616 
 4824 , 5594 
 6446 , 5580 
 4602 , 5575 
 6231 , 5541 
 4317 , 5526 
 7068 , 5498 
 6524 , 5497 
