"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-c RGC"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-ab"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","left retina, middle band (bordering streak)"
"NUMBER OF CELLS",23
"AREA OF SAMPLED FIELD (sq mm)",30.99
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","alpha-c mosaic in intermediate density region bordering streak"
"X","Y"
 4701 , 12559 
 5156 , 11831 
 4003 , 11438 
 4192 , 11323 
 3709 , 11194 
 5295 , 11134 
 4169 , 10776 
 4043 , 10363 
 3783 , 10173 
 4990 , 9929 
 3953 , 9634 
 5169 , 9620 
 4602 , 9426 
 4906 , 9284 
 4009 , 9163 
 4661 , 9116 
 4192 , 8885 
 5005 , 8549 
 4511 , 8531 
 5230 , 8490 
 4675 , 8331 
 4857 , 7835 
 5045 , 7567 
