"SPECIES: common name","Treefrog"
"SPECIES: Latin  name","Litoria (formerly Hyla) moorei"
"RETINAL CELL TYPE NAME: as published","alpha1-ab, alpha2-ab RGC"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Becker, Cook (1999) Vis Neurosci 16: 861-879"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 9C"
"RETINAL LOCATION of sampling field","dorsal"
"NUMBER OF CELLS",205
"AREA OF SAMPLED FIELD (sq mm)",2.149
"TOTAL RETINAL AREA (sq mm)",45.4
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","alpha1-ab cells share many features with alpha-a cells in other frogs but are unusual in having dendrites also in sublamina b; alpha2-ab cells share key features with alpha-ab cells in other frogs and do not respect the dendritic territories of alpha1-ab cells although the somata of the two types show 'steric hindrance'"
"X","Y"
 3647 , 11723 
 3744 , 11552 
 3675 , 11453 
 3647 , 11431 
 3850 , 11374 
 3711 , 11320 
 3940 , 11210 
 3785 , 11202 
 3679 , 11196 
 3979 , 11138 
 3630 , 11038 
 4028 , 11033 
 3874 , 11019 
 3934 , 11018 
 4181 , 10965 
 3727 , 10954 
 3629 , 10952 
 4027 , 10951 
 4054 , 10852 
 4243 , 10840 
 3849 , 10838 
 3780 , 10826 
 4103 , 10787 
 3931 , 10781 
 4320 , 10723 
 4182 , 10693 
 3912 , 10683 
 3808 , 10681 
 3613 , 10676 
 4011 , 10649 
 3890 , 10640 
 3725 , 10585 
 4307 , 10575 
 4405 , 10538 
 4245 , 10523 
 3824 , 10498 
 4104 , 10491 
 3702 , 10486 
 4087 , 10471 
 3921 , 10454 
 4238 , 10381 
 3677 , 10376 
 4535 , 10375 
 3860 , 10367 
 4598 , 10330 
 4387 , 10327 
 4093 , 10273 
 3688 , 10265 
 4555 , 10258 
 4390 , 10247 
 4297 , 10220 
 3761 , 10216 
 3631 , 10207 
 4658 , 10200 
 4773 , 10162 
 4640 , 10143 
 4530 , 10139 
 4066 , 10135 
 3674 , 10133 
 3957 , 10132 
 4180 , 10131 
 4259 , 10123 
 3751 , 10118 
 3810 , 10088 
 3614 , 10075 
 4004 , 10075 
 3639 , 10067 
 4128 , 10047 
 4725 , 10032 
 3972 , 10004 
 4293 , 9987 
 4485 , 9980 
 3683 , 9974 
 4115 , 9972 
 4144 , 9950 
 3999 , 9945 
 3743 , 9938 
 4530 , 9905 
 3613 , 9895 
 3824 , 9880 
 4334 , 9872 
 3964 , 9872 
 4181 , 9859 
 3986 , 9852 
 3753 , 9851 
 4762 , 9850 
 4565 , 9836 
 3862 , 9822 
 4366 , 9818 
 4267 , 9813 
 4468 , 9804 
 4058 , 9799 
 4098 , 9787 
 3990 , 9786 
 3735 , 9780 
 4836 , 9779 
 3648 , 9766 
 4666 , 9749 
 4197 , 9749 
 3932 , 9738 
 3806 , 9735 
 4525 , 9722 
 4703 , 9707 
 4456 , 9704 
 4149 , 9701 
 3641 , 9694 
 3949 , 9685 
 3772 , 9680 
 4126 , 9675 
 3850 , 9664 
 4344 , 9664 
 3667 , 9655 
 5017 , 9636 
 3754 , 9610 
 4086 , 9610 
 4193 , 9572 
 5008 , 9572 
 4017 , 9557 
 3978 , 9554 
 4824 , 9529 
 4451 , 9525 
 5164 , 9522 
 5056 , 9510 
 4736 , 9504 
 3828 , 9504 
 4659 , 9500 
 4094 , 9495 
 4838 , 9493 
 4560 , 9491 
 4212 , 9489 
 4354 , 9488 
 4453 , 9445 
 3844 , 9444 
 5006 , 9443 
 4675 , 9440 
 4799 , 9412 
 3827 , 9376 
 4393 , 9375 
 4550 , 9373 
 3623 , 9366 
 5037 , 9341 
 4276 , 9328 
 4883 , 9317 
 4598 , 9312 
 3800 , 9312 
 4134 , 9310 
 3825 , 9299 
 5254 , 9298 
 4383 , 9296 
 4079 , 9292 
 4799 , 9291 
 4125 , 9279 
 5188 , 9277 
 4668 , 9271 
 4524 , 9269 
 4247 , 9267 
 4028 , 9230 
 4162 , 9226 
 4325 , 9220 
 3731 , 9213 
 5261 , 9196 
 5148 , 9194 
 4860 , 9190 
 4410 , 9181 
 4623 , 9179 
 5058 , 9177 
 4078 , 9176 
 4493 , 9174 
 3637 , 9174 
 3842 , 9168 
 4753 , 9161 
 4257 , 9149 
 4550 , 9146 
 3862 , 9140 
 4168 , 9127 
 3777 , 9121 
 4964 , 9119 
 4603 , 9109 
 4859 , 9104 
 5188 , 9090 
 4415 , 9089 
 4065 , 9070 
 4294 , 9061 
 4769 , 9060 
 4372 , 9055 
 3919 , 9040 
 3667 , 9038 
 4878 , 9034 
 4102 , 9033 
 5315 , 9018 
 4410 , 9005 
 4933 , 8994 
 4630 , 8993 
 4660 , 8990 
 4480 , 8969 
 3681 , 8958 
 4163 , 8954 
 4115 , 8931 
 3757 , 8916 
 4477 , 8900 
 3635 , 8867 
 4401 , 8862 
 4147 , 8853 
 3953 , 8847 
 3865 , 8821 
