"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2A"
"RETINAL LOCATION of sampling field","all, right eye"
"NUMBER OF CELLS",1001
"AREA OF SAMPLED FIELD (sq mm)",62.36
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","AOS-projecting RGCs, HRP-labelled from nBOR (see Methods)"
"X","Y"
 10092 , 10208 
 6246 , 10203 
 11149 , 10192 
 2193 , 10189 
 8642 , 10189 
 6359 , 10185 
 7245 , 10182 
 7136 , 10169 
 5742 , 10168 
 9713 , 10166 
 3815 , 10154 
 3666 , 10151 
 10597 , 10149 
 8809 , 10141 
 10421 , 10140 
 9996 , 10138 
 5417 , 10136 
 4223 , 10131 
 9949 , 10125 
 8402 , 10125 
 8826 , 10123 
 8225 , 10121 
 3096 , 10096 
 4756 , 10088 
 3203 , 10086 
 6234 , 10079 
 9213 , 10077 
 10779 , 10076 
 5752 , 10067 
 6868 , 10064 
 7975 , 10059 
 3313 , 10043 
 5744 , 10039 
 9531 , 10035 
 8420 , 10032 
 6438 , 10014 
 6515 , 10012 
 7183 , 10003 
 7008 , 10003 
 9135 , 10001 
 2580 , 10000 
 3406 , 9998 
 8482 , 9995 
 1801 , 9995 
 7770 , 9991 
 10428 , 9986 
 3079 , 9985 
 9805 , 9963 
 8149 , 9958 
 7943 , 9952 
 8799 , 9948 
 10474 , 9942 
 6445 , 9937 
 6606 , 9927 
 11552 , 9918 
 2893 , 9916 
 2122 , 9915 
 1864 , 9905 
 3490 , 9897 
 8944 , 9895 
 7592 , 9884 
 8257 , 9879 
 7780 , 9875 
 2151 , 9862 
 5533 , 9860 
 889 , 9853 
 2490 , 9825 
 7512 , 9822 
 6181 , 9820 
 3636 , 9811 
 8396 , 9799 
 5609 , 9795 
 4830 , 9793 
 3251 , 9792 
 8738 , 9781 
 4157 , 9774 
 5285 , 9769 
 6419 , 9769 
 3506 , 9766 
 4009 , 9757 
 3158 , 9753 
 11658 , 9753 
 7134 , 9751 
 8586 , 9749 
 9880 , 9747 
 4399 , 9743 
 6187 , 9740 
 2369 , 9733 
 3524 , 9720 
 6163 , 9715 
 4593 , 9714 
 8235 , 9713 
 9205 , 9700 
 6883 , 9698 
 4775 , 9682 
 7458 , 9674 
 7890 , 9673 
 2208 , 9672 
 3011 , 9671 
 2008 , 9660 
 11222 , 9637 
 5857 , 9637 
 7727 , 9634 
 5724 , 9625 
 5667 , 9619 
 3196 , 9611 
 7082 , 9599 
 5951 , 9586 
 2808 , 9584 
 8358 , 9573 
 9486 , 9571 
 3201 , 9569 
 7339 , 9569 
 8870 , 9569 
 993 , 9567 
 6282 , 9567 
 6064 , 9561 
 3456 , 9556 
 5777 , 9551 
 4940 , 9534 
 2602 , 9531 
 9375 , 9530 
 6599 , 9523 
 10318 , 9522 
 5264 , 9521 
 11236 , 9520 
 3348 , 9518 
 6330 , 9496 
 6889 , 9478 
 8545 , 9475 
 10970 , 9474 
 1715 , 9472 
 6387 , 9470 
 7053 , 9470 
 7953 , 9465 
 4556 , 9461 
 5421 , 9456 
 11958 , 9456 
 2826 , 9451 
 7093 , 9446 
 2349 , 9440 
 7580 , 9435 
 9548 , 9434 
 5862 , 9432 
 5812 , 9428 
 6890 , 9410 
 9050 , 9406 
 2935 , 9405 
 11829 , 9379 
 8869 , 9376 
 1973 , 9376 
 6426 , 9373 
 4384 , 9373 
 3526 , 9354 
 6061 , 9352 
 322 , 9349 
 1824 , 9347 
 3225 , 9334 
 3953 , 9332 
 4330 , 9326 
 2299 , 9320 
 10211 , 9316 
 6632 , 9316 
 4196 , 9314 
 2476 , 9312 
 10105 , 9312 
 6409 , 9302 
 7209 , 9300 
 458 , 9298 
 7911 , 9295 
 5938 , 9265 
 4596 , 9260 
 6507 , 9257 
 5904 , 9243 
 1965 , 9241 
 6654 , 9236 
 3705 , 9235 
 954 , 9234 
 8599 , 9230 
