SPECIES: common name,Northern leopard frog
SPECIES: Latin  name,Rana pipiens
RETINAL CELL TYPE NAME: as published,alpha-ab RGCs
OTHER MOSAICS in same sampling field,"alpha-a, alpha-c"
PRIMARY CITATION for these mosaics,"Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
MOSAIC/FIELD-BORDER: published fig(s),n/a
RETINAL LOCATION of sampling field,left eye
NUMBER OF CELLS,250
AREA OF SAMPLED FIELD (sq mm),n/a
TOTAL RETINAL AREA (sq mm),66.58
"UNIT OF X,Y (microns)",0.8333
COMMENTS,"superset of M_423 extending dorsally across the full width of the streak, beyond the area in which the alpha-c mosaic could be plotted satisfactorily"
X,Y
13400,9520
13305,9459
13081,9388
13412,9371
13878,9314
12936,9287
13758,9260
13103,9259
13411,9222
13156,9204
13236,9203
13562,9198
13837,9191
12877,9151
13353,9082
12856,9074
13569,9063
12987,9050
13936,9045
14256,9022
13119,9020
13384,8992
13538,8984
12965,8962
14120,8956
13293,8955
13118,8953
13445,8935
13815,8932
13032,8928
13333,8917
14366,8914
13608,8893
12745,8883
12883,8879
13180,8872
13425,8841
14185,8839
12666,8827
14368,8805
13681,8803
14048,8789
12695,8773
13004,8771
13774,8758
13358,8756
12812,8753
13543,8751
12932,8715
13164,8713
14273,8701
13731,8688
13128,8683
12820,8674
13277,8673
13433,8672
13605,8631
13817,8608
12989,8606
13469,8602
14077,8592
12660,8588
12844,8579
13923,8576
13622,8557
13053,8543
13346,8543
13260,8530
13998,8491
13894,8485
13474,8470
13166,8464
14239,8453
12914,8442
13572,8438
12687,8437
12776,8425
14328,8418
13701,8406
13380,8385
13053,8381
13638,8360
13502,8360
14116,8351
12985,8341
13195,8336
13929,8329
14244,8324
14350,8320
13262,8310
12945,8302
13605,8283
13860,8252
12645,8251
13684,8250
13448,8231
12845,8229
14190,8223
13364,8212
13991,8191
14251,8180
13559,8179
14052,8170
13022,8156
13401,8138
13769,8135
12741,8129
12950,8123
13855,8122
13164,8120
13232,8109
12663,8085
13038,8061
13754,8049
12865,8048
13450,8003
13556,8002
13863,7995
13682,7992
14052,7975
13118,7961
12687,7954
13386,7952
12761,7936
14188,7909
14357,7894
13482,7892
12911,7873
12787,7873
13049,7864
13683,7859
13936,7857
13780,7854
14041,7812
13329,7806
14203,7798
13141,7795
12958,7790
12712,7787
13032,7757
14364,7738
13649,7737
13895,7732
13450,7730
13255,7727
13759,7718
13141,7712
12742,7704
13952,7661
12648,7659
14140,7644
14334,7643
12810,7630
13800,7630
13347,7624
12953,7596
13564,7581
13182,7580
12663,7570
13028,7567
13674,7553
14296,7549
13479,7548
12783,7526
13863,7505
13002,7474
13287,7470
13107,7460
13611,7447
12693,7440
12876,7435
13386,7416
14097,7406
14003,7403
13821,7394
13477,7374
13158,7356
14355,7341
13868,7325
13644,7323
12622,7322
12768,7307
13066,7287
13385,7274
12878,7258
13934,7246
13174,7189
14116,7185
14301,7165
13284,7163
12684,7140
12964,7131
12852,7124
13490,7124
13977,7112
14242,7089
14053,7086
13043,7065
13613,7049
13710,7008
14066,7006
13392,7004
13072,7000
12829,6979
13874,6972
13178,6953
14102,6907
12902,6896
13484,6873
14235,6827
13388,6818
13212,6807
13975,6803
13583,6803
12682,6790
13739,6742
13070,6713
12882,6681
13860,6672
13108,6638
13427,6622
13265,6621
12689,6618
14320,6586
13653,6522
13787,6511
14110,6497
13242,6473
13020,6468
12906,6464
13490,6440
13131,6438
14266,6428
13899,6371
13670,6363
13129,6331
12683,6299
13363,6295
14047,6250
13608,6238
12762,6225
13010,6171
14068,6135
13165,6117
13469,6055
13655,6034
13877,6012
13319,5985
13215,5947
14003,5937
