"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","alpha-a"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 5B"
"RETINAL LOCATION of sampling field","right eye, DT/VT regions"
"NUMBER OF CELLS",253
"AREA OF SAMPLED FIELD (sq mm)",3.00
"TOTAL RETINAL AREA (sq mm)",13.75
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1, Col 3"
"X","Y"
 2578 , 6608 
 2660 , 6592 
 2216 , 6590 
 2502 , 6558 
 2328 , 6536 
 1990 , 6533 
 2113 , 6525 
 2831 , 6514 
 2710 , 6493 
 1833 , 6478 
 1924 , 6468 
 2443 , 6448 
 2555 , 6430 
 2630 , 6428 
 2270 , 6415 
 2171 , 6377 
 1866 , 6371 
 2443 , 6366 
 2840 , 6364 
 2735 , 6357 
 2258 , 6343 
 2560 , 6340 
 2935 , 6329 
 2381 , 6292 
 2295 , 6285 
 2088 , 6281 
 2997 , 6278 
 2621 , 6257 
 1983 , 6250 
 2711 , 6243 
 2491 , 6231 
 1837 , 6230 
 2144 , 6195 
 2961 , 6193 
 2054 , 6192 
 1904 , 6176 
 2785 , 6173 
 2396 , 6167 
 2858 , 6144 
 2565 , 6143 
 2083 , 6123 
 2180 , 6111 
 2298 , 6110 
 1758 , 6104 
 1582 , 6102 
 1948 , 6098 
 1860 , 6097 
 2718 , 6093 
 2051 , 6046 
 1654 , 6046 
 2878 , 6045 
 1345 , 6044 
 2186 , 6002 
 1720 , 5972 
 2263 , 5970 
 1598 , 5948 
 1785 , 5941 
 1992 , 5933 
 2751 , 5916 
 2104 , 5900 
 2325 , 5877 
 1210 , 5866 
 2839 , 5852 
 1548 , 5850 
 2200 , 5849 
 1719 , 5847 
 1295 , 5843 
 1991 , 5832 
 2899 , 5803 
 2754 , 5800 
 1420 , 5788 
 1829 , 5779 
 1165 , 5777 
 2402 , 5744 
 1748 , 5715 
 1216 , 5709 
 2701 , 5709 
 1983 , 5705 
 1413 , 5694 
 1560 , 5692 
 1891 , 5688 
 2430 , 5656 
 2856 , 5654 
 1176 , 5651 
 1327 , 5646 
 2600 , 5613 
 1576 , 5613 
 1395 , 5600 
 988 , 5595 
 1090 , 5578 
 1271 , 5574 
 1458 , 5533 
 933 , 5509 
 1266 , 5471 
 888 , 5454 
 1085 , 5447 
 720 , 5427 
 946 , 5367 
 1101 , 5340 
 878 , 5319 
 805 , 5269 
 1083 , 5246 
 719 , 5238 
 915 , 5213 
 997 , 5194 
 1133 , 5173 
 1253 , 5149 
 1189 , 5144 
 1500 , 5134 
 994 , 5128 
 1351 , 5121 
 1281 , 5096 
 960 , 5085 
 1155 , 5076 
 1418 , 5074 
 1326 , 5054 
 1049 , 5031 
 1483 , 5023 
 1981 , 4989 
 1114 , 4945 
 1323 , 4942 
 1646 , 4942 
 1222 , 4930 
 1924 , 4914 
 1415 , 4885 
 1862 , 4855 
 1574 , 4842 
 1346 , 4840 
 1238 , 4834 
 1573 , 4769 
 1867 , 4737 
 1407 , 4730 
 1715 , 4717 
 1534 , 4703 
 2929 , 4694 
 3046 , 4669 
 2577 , 4623 
 2782 , 4621 
 2485 , 4619 
 2664 , 4603 
 1589 , 4602 
 2970 , 4596 
 1231 , 4595 
 2418 , 4594 
 2184 , 4586 
 1422 , 4585 
 1344 , 4556 
 2619 , 4528 
 2507 , 4518 
 1398 , 4495 
 3043 , 4495 
 1171 , 4470 
 1674 , 4467 
 2162 , 4464 
 2976 , 4460 
 2580 , 4456 
 2884 , 4453 
 1290 , 4444 
 2696 , 4440 
 2100 , 4428 
 1605 , 4422 
 1140 , 4402 
 1446 , 4383 
 2187 , 4383 
 1256 , 4383 
 1861 , 4374 
 2947 , 4357 
 2510 , 4352 
 2795 , 4344 
 3023 , 4341 
 2066 , 4340 
 2651 , 4330 
 2444 , 4327 
 1529 , 4315 
 1994 , 4304 
 1413 , 4297 
 1025 , 4287 
 1243 , 4286 
 1757 , 4280 
 2765 , 4266 
 2941 , 4264 
 1077 , 4255 
 1678 , 4255 
 1878 , 4253 
 1610 , 4236 
 1322 , 4231 
 932 , 4212 
 1142 , 4209 
 2970 , 4198 
 2387 , 4191 
 2709 , 4188 
 1989 , 4184 
 882 , 4147 
 1684 , 4138 
 2106 , 4133 
 1372 , 4131 
 2560 , 4129 
 1934 , 4117 
 1246 , 4106 
 1036 , 4099 
 1160 , 4097 
 1612 , 4093 
 1317 , 4092 
 1444 , 4087 
 919 , 4075 
 1824 , 4072 
 2204 , 4052 
 1381 , 4030 
 1060 , 4021 
 2315 , 4020 
 1192 , 4016 
 1748 , 4016 
 1501 , 3992 
 1617 , 3991 
 1417 , 3965 
 903 , 3961 
 1330 , 3960 
 2076 , 3953 
 1499 , 3915 
 946 , 3914 
 1149 , 3906 
 1901 , 3903 
 1631 , 3892 
 1373 , 3874 
 895 , 3860 
 1550 , 3860 
 1452 , 3856 
 2070 , 3847 
 1280 , 3841 
 1089 , 3841 
 1159 , 3829 
 2010 , 3817 
 1507 , 3787 
 1097 , 3779 
 1412 , 3774 
 1632 , 3771 
 1738 , 3767 
 1267 , 3762 
 1014 , 3757 
 929 , 3754 
 1866 , 3747 
 1565 , 3735 
 1416 , 3697 
 963 , 3683 
 1509 , 3646 
 1345 , 3639 
 1884 , 3632 
 970 , 3613 
 1727 , 3586 
 1104 , 3579 
 1406 , 3571 
 1249 , 3562 
 1033 , 3545 
