"SPECIES: common name","White-spotted greenling"
"SPECIES: Latin  name","Hexagrammos stelleri, Hexagrammidae"
"RETINAL CELL TYPE NAME: as published","biplexiform RGC"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-b, alpha-c"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 4A"
"RETINAL LOCATION of sampling field","VT region, right eye"
"NUMBER OF CELLS",44
"AREA OF SAMPLED FIELD (sq mm)",1.455
"TOTAL RETINAL AREA (sq mm)",96.9
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","includes 11 putative BP cells with poorly stained outer trees omitted from Fig 4A but discussed in the legend to that figure; see Table 1, Col 1, and auto/crosscorrelogram data in spreadsheet"
"X","Y"
 4357 , 6470 
 4086 , 6331 
 4608 , 6312 
 4463 , 6179 
 4202 , 6125 
 4671 , 6104 
 4425 , 6022 
 4980 , 6010 
 6835 , 6008 
 6075 , 5971 
 5263 , 5948 
 4787 , 5934 
 6372 , 5916 
 3128 , 5875 
 5947 , 5860 
 2998 , 5813 
 5242 , 5763 
 6407 , 5692 
 7107 , 5637 
 2982 , 5632 
 5764 , 5631 
 3290 , 5610 
 3482 , 5583 
 3094 , 5542 
 6251 , 5474 
 3245 , 5373 
 2953 , 5363 
 3618 , 5257 
 3838 , 5223 
 3696 , 5108 
 3461 , 5087 
 4056 , 5023 
 3646 , 4963 
 3877 , 4888 
 4151 , 4820 
 4665 , 4592 
 5290 , 4491 
 4887 , 4487 
 6892 , 4376 
 6493 , 4165 
 7519 , 4146 
 5772 , 4113 
 6177 , 3998 
 7087 , 3953 
