"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-a, alpha-ab, alpha-c RGC"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7D"
"RETINAL LOCATION of sampling field","left retina, central region including part of streak"
"NUMBER OF CELLS",773
"AREA OF SAMPLED FIELD (sq mm)",18.064
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","region of least apparent alpha-c cell undersampling: combined 3x overlay"
"X","Y"
 5867 , 14349 
 5919 , 14279 
 6065 , 14206 
 5431 , 14187 
 6396 , 14148 
 6574 , 14146 
 6199 , 14127 
 6694 , 14106 
 6246 , 14041 
 5583 , 14038 
 6815 , 14012 
 6096 , 14005 
 6580 , 14001 
 5399 , 13962 
 6700 , 13958 
 5812 , 13941 
 6192 , 13935 
 6807 , 13918 
 5701 , 13857 
 6571 , 13849 
 5923 , 13845 
 4892 , 13835 
 6465 , 13820 
 5573 , 13819 
 5408 , 13810 
 6324 , 13805 
 6872 , 13796 
 5197 , 13793 
 6739 , 13785 
 6073 , 13750 
 6388 , 13714 
 6707 , 13712 
 4714 , 13684 
 6566 , 13677 
 4899 , 13673 
 6967 , 13663 
 6678 , 13651 
 5729 , 13635 
 5414 , 13611 
 6254 , 13606 
 7003 , 13595 
 6027 , 13565 
 4881 , 13556 
 6759 , 13556 
 6604 , 13544 
 5058 , 13539 
 5261 , 13539 
 5823 , 13531 
 6408 , 13503 
 6951 , 13497 
 5516 , 13475 
 6380 , 13464 
 6041 , 13444 
 6261 , 13441 
 7171 , 13438 
 6407 , 13415 
 6986 , 13403 
 6427 , 13391 
 5912 , 13391 
 5499 , 13374 
 6649 , 13360 
 6048 , 13355 
 6948 , 13342 
 4763 , 13340 
 4579 , 13303 
 7206 , 13292 
 6042 , 13287 
 7030 , 13262 
 5808 , 13254 
 6656 , 13243 
 7042 , 13240 
 6756 , 13235 
 7031 , 13211 
 5424 , 13210 
 6920 , 13196 
 6222 , 13180 
 4455 , 13168 
 4760 , 13158 
 6211 , 13154 
 5063 , 13152 
 5999 , 13123 
 6557 , 13117 
 6571 , 13084 
 5783 , 13070 
 7001 , 13068 
 7138 , 13056 
 5550 , 13043 
 4933 , 13026 
 6127 , 13006 
 6053 , 13003 
 6282 , 12999 
 5478 , 12986 
 6721 , 12976 
 4555 , 12972 
 5368 , 12971 
 6413 , 12958 
 4825 , 12941 
 7079 , 12931 
 4124 , 12917 
 6501 , 12893 
 4433 , 12863 
 5654 , 12853 
 5499 , 12849 
 6313 , 12837 
 6778 , 12824 
 5525 , 12817 
 4415 , 12799 
 4228 , 12769 
 7005 , 12768 
 4780 , 12765 
 6877 , 12748 
 5954 , 12745 
 6693 , 12737 
 5993 , 12735 
 6558 , 12697 
 6823 , 12674 
 5382 , 12672 
 4682 , 12635 
 6326 , 12634 
 6714 , 12628 
 6124 , 12625 
 5529 , 12621 
 4335 , 12607 
 5751 , 12603 
 6720 , 12574 
 6514 , 12573 
 4828 , 12569 
 4701 , 12559 
 5804 , 12559 
 6832 , 12554 
 5581 , 12540 
 6958 , 12529 
 5144 , 12495 
 6281 , 12481 
 6588 , 12465 
 6147 , 12451 
 5392 , 12410 
 4707 , 12398 
 5863 , 12390 
 5023 , 12375 
 6857 , 12352 
 5226 , 12340 
 5630 , 12337 
 5998 , 12319 
 6564 , 12302 
 5767 , 12296 
 6446 , 12293 
 4614 , 12273 
 6229 , 12260 
 7350 , 12227 
 7563 , 12213 
 4983 , 12211 
 4577 , 12195 
 5692 , 12193 
 6721 , 12190 
 7854 , 12183 
 5885 , 12181 
 6411 , 12179 
 6752 , 12179 
 6134 , 12164 
 5499 , 12161 
 5079 , 12108 
 4698 , 12101 
 3784 , 12099 
 3906 , 12095 
 6683 , 12090 
 4887 , 12082 
 7665 , 12071 
 6838 , 12070 
 7405 , 12057 
 7265 , 12036 
 7838 , 12027 
 5762 , 11995 
 7903 , 11982 
 5533 , 11980 
 4774 , 11954 
 6634 , 11953 
 5347 , 11942 
 6517 , 11935 
 7450 , 11923 
 7025 , 11922 
 4125 , 11909 
 7254 , 11907 
 6013 , 11905 
 3833 , 11895 
 7667 , 11891 
 5817 , 11887 
 6836 , 11855 
 4968 , 11851 
 7951 , 11850 
 4207 , 11843 
 7788 , 11832 
 5156 , 11831 
 5132 , 11815 
 6142 , 11814 
 6316 , 11811 
 6698 , 11808 
 7365 , 11793 
 8061 , 11790 
 6266 , 11786 
 6530 , 11786 
 4232 , 11775 
 7118 , 11762 
 5326 , 11755 
 7449 , 11742 
 7603 , 11742 
 7693 , 11737 
 7334 , 11736 
 6404 , 11709 
 7962 , 11705 
 7759 , 11699 
 8072 , 11675 
 3831 , 11650 
 6888 , 11639 
 6572 , 11632 
 5919 , 11617 
 5667 , 11612 
 6887 , 11600 
 6179 , 11600 
 7264 , 11600 
 7630 , 11597 
 5573 , 11591 
 7438 , 11588 
 5315 , 11581 
 7666 , 11567 
 6727 , 11566 
 4040 , 11558 
 4941 , 11547 
 7996 , 11536 
 4395 , 11535 
 6943 , 11525 
 5066 , 11521 
 5818 , 11519 
 7220 , 11515 
 5749 , 11499 
 6250 , 11480 
 6075 , 11457 
 4003 , 11438 
 7467 , 11437 
 7328 , 11413 
 7595 , 11413 
 4083 , 11405 
 6372 , 11404 
 7814 , 11386 
 6589 , 11373 
 7848 , 11366 
 6454 , 11363 
 7624 , 11352 
 6955 , 11349 
 8089 , 11328 
 3678 , 11324 
 5139 , 11324 
 4192 , 11323 
 7117 , 11316 
 4370 , 11309 
 6453 , 11305 
 5378 , 11304 
 5099 , 11289 
 3856 , 11288 
 7749 , 11279 
 5786 , 11273 
 4543 , 11270 
 6008 , 11260 
 7600 , 11244 
 5551 , 11242 
 4190 , 11231 
 7983 , 11224 
 7414 , 11222 
 7768 , 11210 
 6679 , 11208 
 7243 , 11207 
 8192 , 11205 
 3709 , 11194 
 8107 , 11156 
 6851 , 11139 
 7085 , 11139 
 5295 , 11134 
 6367 , 11130 
 8177 , 11124 
 6956 , 11120 
 7322 , 11111 
 7140 , 11106 
 6050 , 11102 
 5925 , 11101 
 4375 , 11099 
 5739 , 11097 
 6141 , 11085 
 7916 , 11061 
 7445 , 11059 
 7512 , 11052 
 4123 , 11043 
 6699 , 11021 
 3725 , 11011 
 7561 , 11008 
 6574 , 11006 
 4536 , 11002 
 8064 , 10991 
 6593 , 10986 
 7491 , 10965 
 7964 , 10963 
 7806 , 10962 
 7209 , 10954 
 8036 , 10950 
 6423 , 10945 
 7076 , 10931 
 7148 , 10922 
 6960 , 10921 
 7618 , 10921 
 5430 , 10916 
 5251 , 10914 
 8043 , 10898 
 6793 , 10895 
 7445 , 10893 
 5996 , 10885 
 7327 , 10882 
 8084 , 10860 
 6005 , 10851 
 5643 , 10847 
 6548 , 10847 
 7688 , 10831 
 5714 , 10827 
 7233 , 10822 
 4231 , 10801 
 4097 , 10787 
 5751 , 10784 
 6975 , 10783 
 6386 , 10783 
 4169 , 10776 
 3639 , 10776 
 7422 , 10766 
 6536 , 10764 
 3836 , 10762 
 4590 , 10759 
 5458 , 10746 
 6152 , 10745 
 5819 , 10741 
 6805 , 10738 
 7833 , 10732 
 7998 , 10725 
 7347 , 10719 
 4516 , 10706 
 4332 , 10698 
 6951 , 10697 
 5732 , 10676 
 7541 , 10667 
 7213 , 10661 
 7357 , 10644 
 4425 , 10642 
 7730 , 10626 
 5949 , 10615 
 6485 , 10604 
 3678 , 10599 
 7448 , 10589 
 6834 , 10577 
 6956 , 10566 
 6186 , 10561 
 6616 , 10535 
 7782 , 10532 
 4389 , 10520 
 7612 , 10516 
 4744 , 10513 
 5616 , 10506 
 7351 , 10487 
 7030 , 10480 
 6655 , 10478 
 3907 , 10473 
 7564 , 10457 
 7096 , 10453 
 6060 , 10420 
 4528 , 10420 
 6137 , 10405 
 6778 , 10399 
 6977 , 10385 
 7733 , 10365 
 4043 , 10363 
 7156 , 10359 
 4146 , 10355 
 6230 , 10350 
 3744 , 10344 
 6451 , 10307 
 7370 , 10301 
 6865 , 10288 
 4693 , 10263 
 6684 , 10248 
 3702 , 10242 
 4846 , 10240 
 4138 , 10230 
 7212 , 10225 
 4443 , 10224 
 6999 , 10221 
 7452 , 10201 
 4482 , 10198 
 5462 , 10181 
 3783 , 10173 
 5876 , 10164 
 4351 , 10148 
 6306 , 10137 
 6996 , 10125 
 4975 , 10123 
 6622 , 10121 
 5758 , 10094 
 6069 , 10075 
 7120 , 10059 
 5152 , 10048 
 5892 , 10043 
 5399 , 10033 
 3765 , 10008 
 6804 , 10004 
 5204 , 9999 
 4067 , 9993 
 5567 , 9992 
 6449 , 9970 
 6152 , 9966 
 6591 , 9963 
 4382 , 9949 
 6258 , 9933 
 4990 , 9929 
 4774 , 9916 
 5127 , 9915 
 6031 , 9914 
 6387 , 9884 
 5312 , 9880 
 6530 , 9879 
 4272 , 9874 
 5452 , 9874 
 6047 , 9865 
 6035 , 9774 
 6355 , 9755 
 5643 , 9750 
 5280 , 9731 
 4522 , 9726 
 3839 , 9723 
 4010 , 9698 
 5133 , 9683 
 4675 , 9652 
 5644 , 9650 
 3953 , 9634 
 4299 , 9631 
 5169 , 9620 
 5418 , 9608 
 6221 , 9573 
 3795 , 9533 
 4835 , 9526 
 5639 , 9509 
 6262 , 9507 
 4805 , 9502 
 3898 , 9458 
 6001 , 9438 
 4602 , 9426 
 4463 , 9399 
 5476 , 9378 
 5357 , 9377 
 5168 , 9376 
 6123 , 9367 
 5050 , 9359 
 6041 , 9330 
 5020 , 9309 
 4906 , 9284 
 5772 , 9280 
 5549 , 9269 
 3916 , 9236 
 6132 , 9231 
 4277 , 9227 
 5825 , 9218 
 4070 , 9195 
 4009 , 9163 
 4676 , 9156 
 5496 , 9155 
 4885 , 9144 
 4661 , 9116 
 4569 , 9051 
 5038 , 9044 
 4484 , 9028 
 4296 , 8994 
 5901 , 8986 
 5210 , 8978 
 5332 , 8963 
 4624 , 8963 
 4803 , 8948 
 5446 , 8936 
 4192 , 8885 
 6096 , 8868 
 5918 , 8828 
 4895 , 8822 
 4290 , 8788 
 5505 , 8778 
 5653 , 8770 
 5431 , 8754 
 5146 , 8700 
 4464 , 8696 
 5267 , 8691 
 4818 , 8673 
 5797 , 8665 
 4890 , 8647 
 4633 , 8602 
 5005 , 8549 
 5209 , 8537 
 4511 , 8531 
 4394 , 8530 
 5725 , 8517 
 4487 , 8507 
 5230 , 8490 
 5061 , 8471 
 4786 , 8392 
 4939 , 8377 
 4675 , 8331 
 5210 , 8325 
 4382 , 8324 
 6734 , 8317 
 5364 , 8314 
 4227 , 8286 
 6184 , 8269 
 6778 , 8220 
 4605 , 8200 
 5788 , 8197 
 6013 , 8195 
 5204 , 8171 
 7021 , 8166 
 4514 , 8164 
 5018 , 8153 
 6318 , 8150 
 5662 , 8142 
 5823 , 8140 
 6717 , 8139 
 6858 , 8136 
 7271 , 8125 
 6784 , 8104 
 5974 , 8096 
 6361 , 8062 
 6754 , 8062 
 7395 , 8058 
 7053 , 8054 
 4726 , 8033 
 6067 , 8025 
 5969 , 8022 
 6577 , 8005 
 4818 , 7993 
 5829 , 7977 
 7508 , 7956 
 6042 , 7953 
 6153 , 7938 
 7324 , 7935 
 4806 , 7925 
 7187 , 7922 
 7635 , 7908 
 5710 , 7902 
 6265 , 7900 
 5090 , 7884 
 7556 , 7864 
 4932 , 7853 
 6901 , 7845 
 5603 , 7840 
 6497 , 7840 
 4857 , 7835 
 5379 , 7824 
 7064 , 7810 
 7361 , 7797 
 6168 , 7786 
 7046 , 7784 
 7628 , 7783 
 6646 , 7778 
 7182 , 7762 
 5632 , 7756 
 7456 , 7749 
 4730 , 7736 
 7237 , 7733 
 7750 , 7731 
 5145 , 7726 
 7513 , 7722 
 6852 , 7712 
 6428 , 7697 
 6557 , 7696 
 4941 , 7671 
 7056 , 7666 
 7300 , 7661 
 7727 , 7648 
 5329 , 7647 
 5909 , 7636 
 6738 , 7632 
 4499 , 7622 
 7383 , 7611 
 7650 , 7579 
 7313 , 7577 
 7273 , 7572 
 5909 , 7570 
 5647 , 7570 
 7139 , 7569 
 5045 , 7567 
 5320 , 7566 
 6683 , 7548 
 7597 , 7536 
 7846 , 7535 
 6380 , 7523 
 7411 , 7520 
 5738 , 7518 
 5629 , 7516 
 4788 , 7513 
 7036 , 7511 
 6529 , 7500 
 7504 , 7460 
 5406 , 7446 
 4632 , 7444 
 6953 , 7435 
 6755 , 7413 
 7768 , 7412 
 6825 , 7396 
 7777 , 7384 
 7254 , 7382 
 7108 , 7367 
 6462 , 7354 
 5636 , 7344 
 7960 , 7339 
 7783 , 7335 
 7611 , 7327 
 5280 , 7325 
 7485 , 7319 
 5809 , 7299 
 6585 , 7295 
 7490 , 7290 
 7043 , 7290 
 7458 , 7288 
 6857 , 7288 
 5101 , 7285 
 7988 , 7269 
 7817 , 7263 
 7514 , 7253 
 5079 , 7243 
 7107 , 7241 
 7694 , 7214 
 7219 , 7212 
 5656 , 7194 
 6720 , 7184 
 8001 , 7160 
 7412 , 7146 
 6451 , 7138 
 7587 , 7137 
 5628 , 7121 
 5446 , 7121 
 5822 , 7118 
 7767 , 7118 
 6642 , 7116 
 6399 , 7093 
 5840 , 7086 
 5230 , 7085 
 7342 , 7076 
 6604 , 7057 
 7380 , 7054 
 7704 , 7045 
 5020 , 7027 
 7603 , 7019 
 7297 , 7015 
 7785 , 6990 
 6728 , 6969 
 6642 , 6968 
 5422 , 6959 
 7416 , 6952 
 6463 , 6951 
 5455 , 6941 
 5566 , 6931 
 7848 , 6923 
 7684 , 6916 
 5161 , 6913 
 4931 , 6910 
 6867 , 6905 
 7050 , 6897 
 7230 , 6878 
 5866 , 6856 
 7604 , 6854 
 6227 , 6852 
 7700 , 6851 
 5131 , 6847 
 5989 , 6837 
 7790 , 6835 
 7080 , 6829 
 5339 , 6822 
 6713 , 6813 
 7186 , 6798 
 5629 , 6791 
 7366 , 6773 
 5366 , 6766 
 7536 , 6748 
 6321 , 6733 
 5722 , 6730 
 6526 , 6726 
 7036 , 6720 
 6828 , 6715 
 6135 , 6705 
 6161 , 6703 
 7658 , 6696 
 6826 , 6687 
 6948 , 6679 
 7845 , 6672 
 7231 , 6663 
 5440 , 6640 
 6649 , 6638 
 6807 , 6635 
 5874 , 6633 
 7315 , 6609 
 6356 , 6608 
 6102 , 6603 
 6311 , 6600 
 7344 , 6567 
 6741 , 6563 
 6925 , 6553 
 5699 , 6552 
 5750 , 6549 
 7729 , 6547 
 7534 , 6547 
 7833 , 6542 
 6647 , 6527 
 5269 , 6524 
 7367 , 6504 
 7242 , 6492 
 6140 , 6474 
 7488 , 6465 
 7181 , 6453 
 5703 , 6437 
 7594 , 6428 
 7171 , 6427 
 6901 , 6423 
 6494 , 6405 
 6341 , 6402 
 6630 , 6397 
 5930 , 6396 
 5903 , 6389 
 6572 , 6373 
 6707 , 6371 
 5518 , 6370 
 7607 , 6368 
 5858 , 6365 
 5350 , 6356 
 6981 , 6355 
 7175 , 6331 
 5673 , 6302 
 5802 , 6292 
 7565 , 6289 
 6801 , 6273 
 6193 , 6270 
 7414 , 6251 
 6682 , 6251 
 6994 , 6225 
 6000 , 6223 
 6943 , 6221 
 6505 , 6215 
 7298 , 6201 
 5522 , 6192 
 6397 , 6184 
 5642 , 6170 
 7166 , 6167 
 6418 , 6166 
 7072 , 6164 
 5706 , 6161 
 7426 , 6158 
 6546 , 6132 
 5806 , 6119 
 6878 , 6103 
 6714 , 6099 
 5927 , 6094 
 6497 , 6043 
 7216 , 6030 
 5900 , 6018 
 6743 , 6012 
 6387 , 6010 
 7041 , 5990 
 6504 , 5978 
 5877 , 5939 
 6301 , 5915 
 6809 , 5897 
 6653 , 5891 
 6326 , 5811 
 6800 , 5773 
 6304 , 5764 
 6580 , 5759 
