"SPECIES: common name","South African clawed frog"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7B"
"RETINAL LOCATION of sampling field","right eye, almost complete"
"NUMBER OF CELLS",460
"AREA OF SAMPLED FIELD (sq mm)",16.15
"TOTAL RETINAL AREA (sq mm)",17.0
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND/DRP analysis data"
"X","Y"
 4622 , 6845 
 1140 , 6837 
 1784 , 6830 
 4234 , 6828 
 3037 , 6792 
 1879 , 6778 
 2537 , 6742 
 1716 , 6731 
 3505 , 6730 
 4107 , 6722 
 1218 , 6722 
 2266 , 6713 
 1072 , 6703 
 3868 , 6690 
 861 , 6687 
 3327 , 6686 
 5147 , 6669 
 4634 , 6657 
 2838 , 6656 
 2494 , 6639 
 1319 , 6634 
 1466 , 6625 
 1818 , 6607 
 4925 , 6598 
 2317 , 6598 
 3554 , 6592 
 3066 , 6591 
 2738 , 6586 
 3707 , 6565 
 1085 , 6536 
 649 , 6528 
 3925 , 6523 
 4759 , 6519 
 1543 , 6510 
 4242 , 6509 
 4497 , 6508 
 3268 , 6500 
 890 , 6496 
 1319 , 6487 
 5209 , 6477 
 2180 , 6470 
 713 , 6438 
 3433 , 6435 
 3670 , 6429 
 4893 , 6429 
 2052 , 6379 
 4616 , 6378 
 1347 , 6366 
 5398 , 6363 
 4287 , 6362 
 3159 , 6353 
 1609 , 6349 
 3972 , 6330 
 2358 , 6313 
 3314 , 6308 
 5104 , 6299 
 5811 , 6292 
 896 , 6278 
 1308 , 6255 
 1916 , 6252 
 4387 , 6237 
 2176 , 6219 
 2921 , 6216 
 5296 , 6211 
 4699 , 6204 
 3790 , 6196 
 2410 , 6183 
 4151 , 6182 
 5956 , 6173 
 3215 , 6172 
 5614 , 6126 
 5086 , 6125 
 3952 , 6101 
 3302 , 6089 
 3513 , 6087 
 1361 , 6080 
 1561 , 6054 
 2993 , 6040 
 6099 , 6034 
 5489 , 6006 
 5815 , 5994 
 4759 , 5990 
 3126 , 5979 
 3418 , 5956 
 5102 , 5952 
 3709 , 5927 
 4179 , 5927 
 4027 , 5924 
 2766 , 5907 
 6050 , 5898 
 3832 , 5860 
 3273 , 5816 
 5656 , 5811 
 5303 , 5783 
 4609 , 5743 
 2644 , 5682 
 4848 , 5680 
 5102 , 5647 
 2791 , 5590 
 2613 , 5549 
 2382 , 5461 
 1983 , 5385 
 3049 , 5329 
 2097 , 5324 
 2245 , 5267 
 2905 , 5249 
 2572 , 5072 
 2868 , 5071 
 3244 , 5068 
 2800 , 4912 
 2974 , 4899 
 3285 , 4888 
 2474 , 4845 
 3178 , 4791 
 2112 , 4729 
 3731 , 4681 
 2651 , 4671 
 2251 , 4623 
 1629 , 4616 
 3002 , 4596 
 1069 , 4561 
 1346 , 4545 
 3662 , 4544 
 2784 , 4543 
 1608 , 4505 
 3233 , 4497 
 2449 , 4443 
 922 , 4410 
 1428 , 4348 
 3464 , 4339 
 1086 , 4316 
 1796 , 4307 
 2646 , 4300 
 872 , 4296 
 717 , 4296 
 2969 , 4275 
 1261 , 4222 
 1533 , 4181 
 2340 , 4177 
 3624 , 4175 
 1041 , 4171 
 1929 , 4138 
 3506 , 4125 
 1411 , 4104 
 2867 , 4063 
 2620 , 4056 
 1737 , 4033 
 1450 , 3990 
 3435 , 3956 
 2026 , 3902 
 3971 , 3892 
 2612 , 3869 
 3175 , 3863 
 3752 , 3845 
 1906 , 3803 
 2987 , 3795 
 2199 , 3762 
 1863 , 3668 
 3474 , 3658 
 2729 , 3597 
 2963 , 3550 
 3276 , 3547 
 2467 , 3545 
 2109 , 3507 
 3723 , 3493 
 2500 , 3410 
 3130 , 3368 
 2789 , 3348 
 3401 , 3160 
 2999 , 3152 
 3190 , 3148 
 2694 , 3029 
 3092 , 2905 
