"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","alpha-a, alpha-ab"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7C"
"RETINAL LOCATION of sampling field","left eye, dorsal region"
"NUMBER OF CELLS",217
"AREA OF SAMPLED FIELD (sq mm)",2.071
"TOTAL RETINAL AREA (sq mm)",27.85
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND and correlogram/DRP analysis data"
"X","Y"
 5471 , 6807 
 5662 , 6786 
 5497 , 6785 
 5896 , 6769 
 5344 , 6764 
 4830 , 6741 
 6103 , 6735 
 5732 , 6729 
 6121 , 6718 
 4636 , 6714 
 6219 , 6694 
 5590 , 6688 
 6347 , 6682 
 6037 , 6680 
 4838 , 6664 
 5894 , 6663 
 4934 , 6661 
 5081 , 6660 
 6116 , 6654 
 4968 , 6648 
 5761 , 6645 
 5938 , 6631 
 5545 , 6625 
 4698 , 6616 
 5354 , 6612 
 4525 , 6610 
 4828 , 6594 
 4264 , 6589 
 6300 , 6578 
 6681 , 6577 
 4488 , 6566 
 6451 , 6561 
 6130 , 6561 
 5873 , 6559 
 4630 , 6553 
 5513 , 6551 
 6024 , 6547 
 5777 , 6528 
 4882 , 6518 
 5144 , 6504 
 5075 , 6502 
 4737 , 6501 
 4385 , 6500 
 5316 , 6494 
 6688 , 6491 
 4155 , 6489 
 6929 , 6487 
 4892 , 6486 
 5829 , 6482 
 5029 , 6480 
 5501 , 6474 
 6167 , 6469 
 6249 , 6467 
 6485 , 6461 
 4251 , 6455 
 5279 , 6455 
 6421 , 6452 
 6353 , 6452 
 5923 , 6449 
 4539 , 6449 
 5606 , 6436 
 4027 , 6428 
 6638 , 6426 
 4299 , 6424 
 6818 , 6422 
 6920 , 6402 
 4929 , 6401 
 5025 , 6378 
 4511 , 6376 
 5410 , 6373 
 4826 , 6369 
 6186 , 6369 
 6736 , 6368 
 6490 , 6368 
 4660 , 6361 
 4416 , 6357 
 3885 , 6353 
 3930 , 6352 
 4196 , 6351 
 5149 , 6347 
 4753 , 6346 
 6068 , 6345 
 5900 , 6340 
 4097 , 6340 
 5362 , 6337 
 5630 , 6327 
 6825 , 6324 
 4299 , 6321 
 5993 , 6317 
 5314 , 6316 
 3717 , 6311 
 4002 , 6299 
 5072 , 6298 
 6163 , 6284 
 4741 , 6281 
 6329 , 6280 
 6597 , 6279 
 4546 , 6279 
 4903 , 6279 
 6657 , 6277 
 6862 , 6276 
 4119 , 6276 
 7035 , 6273 
 4407 , 6268 
 5796 , 6265 
 3786 , 6260 
 6197 , 6257 
 5773 , 6256 
 5250 , 6250 
 5442 , 6244 
 5936 , 6239 
 5660 , 6236 
 6748 , 6234 
 5137 , 6227 
 6452 , 6225 
 4947 , 6221 
 5019 , 6214 
 6300 , 6205 
 6419 , 6194 
 4213 , 6190 
 6936 , 6189 
 3752 , 6180 
 6190 , 6172 
 5709 , 6172 
 6587 , 6166 
 4021 , 6162 
 4875 , 6159 
 5303 , 6154 
 3801 , 6153 
 5613 , 6153 
 7064 , 6148 
 6225 , 6148 
 4609 , 6145 
 6011 , 6145 
 5370 , 6144 
 6811 , 6141 
 4781 , 6141 
 5486 , 6141 
 3677 , 6139 
 4318 , 6133 
 5137 , 6132 
 5053 , 6127 
 5740 , 6125 
 5919 , 6125 
 7107 , 6125 
 4304 , 6119 
 3936 , 6116 
 6804 , 6113 
 4812 , 6112 
 6474 , 6110 
 4185 , 6108 
 6967 , 6089 
 6121 , 6086 
 4091 , 6084 
 5679 , 6083 
 4931 , 6082 
 4653 , 6079 
 5857 , 6072 
 6569 , 6071 
 6248 , 6064 
 5201 , 6063 
 6619 , 6059 
 6871 , 6058 
 4402 , 6047 
 5079 , 6046 
 3741 , 6043 
 4442 , 6028 
 6898 , 6028 
 6448 , 6028 
 6454 , 6023 
 6003 , 6022 
 6711 , 6022 
 7112 , 6021 
 5272 , 6019 
 6157 , 6019 
 5794 , 6008 
 3872 , 5993 
 3906 , 5986 
 5674 , 5983 
 6250 , 5972 
 6962 , 5969 
 4077 , 5956 
 6295 , 5948 
 5022 , 5944 
 6802 , 5940 
 6573 , 5913 
 4217 , 5912 
 6316 , 5904 
 6431 , 5900 
 3970 , 5898 
 6815 , 5889 
 6757 , 5878 
 7058 , 5869 
 6640 , 5868 
 6128 , 5862 
 6902 , 5857 
 4133 , 5853 
 6671 , 5797 
 6564 , 5793 
 6452 , 5790 
 7184 , 5786 
 6454 , 5785 
 4030 , 5784 
 6794 , 5784 
 6203 , 5734 
 6998 , 5700 
 7153 , 5686 
 6302 , 5672 
 6802 , 5655 
 6858 , 5616 
 7183 , 5616 
 7207 , 5587 
 7020 , 5557 
 6724 , 5512 
 7068 , 5498 
 6860 , 5470 
 7108 , 5460 
