"SPECIES: common name","Six-lined prickleback"
"SPECIES: Latin  name","Ernogrammus hexagrammus, Stichaeidae"
"RETINAL CELL TYPE NAME: as published","biplexiform RGC"
"OTHER MOSAICS in same sampling field","alpha-a"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","right eye, DT region"
"NUMBER OF CELLS",35
"AREA OF SAMPLED FIELD (sq mm)",2.98
"TOTAL RETINAL AREA (sq mm)",45.3
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1, Col 3; for auto/crosscorrelogram data with alpha-a, see spreadsheet"
"X","Y"
 8292 , 9491 
 8515 , 9341 
 7872 , 9187 
 7642 , 8916 
 7947 , 8836 
 7790 , 8702 
 8315 , 8457 
 7920 , 8235 
 8818 , 8230 
 7364 , 8097 
 7673 , 8065 
 8350 , 8056 
 8053 , 7895 
 8529 , 7827 
 8840 , 7813 
 7696 , 7743 
 8519 , 7619 
 8941 , 7567 
 7637 , 7500 
 8061 , 7405 
 8826 , 7287 
 8366 , 7226 
 7931 , 7183 
 8817 , 7086 
 7853 , 6794 
 8154 , 6677 
 8687 , 6654 
 7550 , 6512 
 8064 , 6472 
 7278 , 6425 
 8707 , 6410 
 7714 , 6341 
 8346 , 6254 
 7332 , 6108 
 7959 , 6069 
