"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","biplexiform"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-ab"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 8A, Table 1"
"RETINAL LOCATION of sampling field","left eye, VT region avoiding area retinae temporalis"
"NUMBER OF CELLS",31
"AREA OF SAMPLED FIELD (sq mm)",2.28
"TOTAL RETINAL AREA (sq mm)",32.69
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND and correlogram/DRP analysis data"
"X","Y"
 8158 , 5920 
 8160 , 5739 
 8450 , 5617 
 7902 , 5607 
 9647 , 5540 
 8101 , 5537 
 7895 , 5425 
 8458 , 5282 
 8191 , 5230 
 7845 , 5197 
 9460 , 5179 
 9064 , 5177 
 8454 , 5104 
 7730 , 5009 
 9395 , 4953 
 7538 , 4910 
 9699 , 4905 
 9059 , 4905 
 8069 , 4864 
 7896 , 4800 
 9384 , 4775 
 7609 , 4613 
 8677 , 4412 
 9060 , 4306 
 8497 , 4223 
 9061 , 3974 
 8305 , 3971 
 7732 , 3872 
 8731 , 3774 
 8110 , 3708 
 8380 , 3528 
