"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-a RGC"
"OTHER MOSAICS in same sampling field","alpha-ab, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7A"
"RETINAL LOCATION of sampling field","left retina, all"
"NUMBER OF CELLS",340
"AREA OF SAMPLED FIELD (sq mm)",67.1
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 and Fig 11 for NND and correlogram/DRP analysis data"
"X","Y"
 7145 , 16237 
 6591 , 16007 
 7347 , 15877 
 7148 , 15840 
 6645 , 15775 
 6393 , 15768 
 6508 , 15602 
 7461 , 15368 
 6386 , 15364 
 6822 , 15269 
 6778 , 15166 
 7560 , 15075 
 6612 , 14938 
 6253 , 14932 
 7426 , 14904 
 10838 , 14828 
 10194 , 14781 
 9795 , 14730 
 10473 , 14671 
 7052 , 14656 
 4972 , 14579 
 6523 , 14578 
 5314 , 14521 
 6221 , 14489 
 7369 , 14478 
 11316 , 14386 
 4787 , 14345 
 4410 , 14345 
 6863 , 14311 
 6615 , 14291 
 5916 , 14280 
 7216 , 14210 
 11106 , 14159 
 5012 , 14145 
 7502 , 14072 
 11642 , 14053 
 10037 , 14007 
 10777 , 13946 
 5705 , 13855 
 6680 , 13653 
 11591 , 13618 
 11060 , 13603 
 6383 , 13470 
 9908 , 13422 
 6038 , 13351 
 9513 , 13299 
 7033 , 13218 
 4196 , 13166 
 11780 , 13144 
 5058 , 13143 
 9426 , 13105 
 6573 , 13084 
 8933 , 13076 
 8416 , 13061 
 9996 , 13020 
 6053 , 13004 
 9632 , 12963 
 8739 , 12933 
 4442 , 12865 
 5529 , 12819 
 2782 , 12760 
 9157 , 12760 
 5985 , 12735 
 11118 , 12706 
 8256 , 12686 
 6828 , 12671 
 10286 , 12641 
 9942 , 12592 
 9717 , 12584 
 9390 , 12576 
 5797 , 12561 
 8614 , 12542 
 8363 , 12448 
 9548 , 12424 
 5390 , 12414 
 10737 , 12381 
 3011 , 12379 
 8756 , 12302 
 5767 , 12296 
 6447 , 12289 
 4609 , 12272 
 10056 , 12245 
 9757 , 12234 
 7994 , 12211 
 6753 , 12170 
 8199 , 12157 
 10900 , 12115 
 3784 , 12091 
 4888 , 12076 
 2762 , 12065 
 2424 , 12062 
 8442 , 12049 
 9259 , 12000 
 5234 , 11987 
 9829 , 11956 
 10466 , 11955 
 8862 , 11942 
 8268 , 11911 
 5825 , 11891 
 4210 , 11847 
 6330 , 11809 
 9232 , 11807 
 8650 , 11752 
 7690 , 11732 
 9519 , 11725 
 7971 , 11702 
 9267 , 11696 
 10764 , 11684 
 9979 , 11683 
 2386 , 11639 
 3078 , 11636 
 8284 , 11632 
 6580 , 11627 
 5675 , 11613 
 8577 , 11611 
 6898 , 11608 
 6189 , 11604 
 9519 , 11532 
 7217 , 11515 
 9851 , 11493 
 4088 , 11399 
 9159 , 11370 
 6464 , 11368 
 7629 , 11361 
 8367 , 11324 
 5145 , 11320 
 9502 , 11235 
 9749 , 11214 
 8189 , 11207 
 7776 , 11207 
 7103 , 11137 
 8897 , 11101 
 1757 , 11096 
 2954 , 11087 
 7517 , 11055 
 9120 , 10988 
 6600 , 10986 
 7970 , 10962 
 2113 , 10955 
 7081 , 10938 
 9838 , 10925 
 5262 , 10906 
 7447 , 10892 
 6006 , 10846 
 9586 , 10840 
 5646 , 10839 
 3295 , 10837 
 4098 , 10792 
 6955 , 10708 
 10623 , 10689 
 9668 , 10685 
 9414 , 10677 
 4432 , 10640 
 1468 , 10557 
 9209 , 10525 
 7032 , 10482 
 6664 , 10475 
 4531 , 10422 
 6135 , 10401 
 2384 , 10342 
 3734 , 10338 
 10296 , 10273 
 4858 , 10247 
 4449 , 10227 
 4126 , 10227 
