"SPECIES: common name","White-spotted greenling"
"SPECIES: Latin  name","Hexagrammos stelleri, Hexagrammidae"
"RETINAL CELL TYPE NAME: as published","alpha-b"
"OTHER MOSAICS in same sampling field","biplexiform, alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 4A"
"RETINAL LOCATION of sampling field","VT region, right eye"
"NUMBER OF CELLS",43
"AREA OF SAMPLED FIELD (sq mm)",1.455
"TOTAL RETINAL AREA (sq mm)",96.9
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","from same retinal region as BP and alpha-a cells but not discussed; see auto/crosscorrelogram data in spreadsheet"
"X","Y"
 4529 , 6367 
 4303 , 6366 
 4659 , 6358 
 4807 , 6297 
 4361 , 6210 
 4015 , 6191 
 4200 , 6170 
 5349 , 6097 
 4693 , 6075 
 4219 , 5992 
 6809 , 5963 
 6177 , 5953 
 6502 , 5915 
 4722 , 5871 
 3064 , 5853 
 5063 , 5851 
 5356 , 5780 
 4864 , 5772 
 3049 , 5711 
 4511 , 5673 
 5284 , 5622 
 3201 , 5617 
 6498 , 5598 
 4955 , 5594 
 5727 , 5537 
 2998 , 5520 
 3350 , 5482 
 5071 , 5453 
 6314 , 5444 
 6208 , 5204 
 3730 , 4895 
 3835 , 4685 
 4022 , 4666 
 4403 , 4656 
 4956 , 4627 
 4178 , 4548 
 4373 , 4501 
 4623 , 4481 
 4927 , 4364 
 4562 , 4309 
 4761 , 4153 
 5021 , 4054 
 5270 , 3961 
