"SPECIES: common name","Catfish"
"SPECIES: Latin  name","Ictalurus punctatus"
"RETINAL CELL TYPE NAME: as published","alpha-a, alpha-b, alpha-c RGCs"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Cook & Sharma (1995) J Comp Neurol 362: 331-349"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 1B"
"RETINAL LOCATION of sampling field","VT/VN"
"NUMBER OF CELLS",350
"AREA OF SAMPLED FIELD (sq mm)",15.74
"TOTAL RETINAL AREA (sq mm)",56.94
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","large right retina; 3x overlay"
"X","Y"
 1175 , 10894 
 727 , 10871 
 1225 , 10730 
 734 , 10690 
 977 , 10688 
 630 , 10640 
 1515 , 10639 
 974 , 10547 
 879 , 10462 
 451 , 10458 
 1184 , 10379 
 1275 , 10335 
 1951 , 10330 
 1853 , 10256 
 1365 , 10227 
 768 , 10174 
 353 , 10167 
 393 , 10148 
 958 , 10139 
 1654 , 10103 
 622 , 10090 
 434 , 10080 
 1920 , 10072 
 916 , 10072 
 1210 , 10067 
 1495 , 10060 
 663 , 10054 
 1312 , 10052 
 2188 , 9972 
 1883 , 9920 
 1070 , 9902 
 1643 , 9897 
 1117 , 9894 
 1482 , 9892 
 760 , 9865 
 1025 , 9856 
 430 , 9811 
 571 , 9790 
 1823 , 9780 
 1002 , 9739 
 715 , 9734 
 1686 , 9726 
 826 , 9720 
 1220 , 9673 
 2079 , 9660 
 761 , 9656 
 1552 , 9648 
 1160 , 9551 
 480 , 9526 
 210 , 9519 
 1418 , 9405 
 217 , 9356 
 986 , 9355 
 648 , 9348 
 850 , 9330 
 2151 , 9314 
 314 , 9301 
 499 , 9276 
 956 , 9261 
 1778 , 9258 
 304 , 9247 
 695 , 9195 
 1519 , 9164 
 1374 , 9132 
 207 , 9121 
 1570 , 9117 
 1429 , 9114 
 1110 , 9095 
 2134 , 9083 
 1139 , 9000 
 1935 , 8934 
 2098 , 8932 
 1794 , 8921 
 441 , 8920 
 1131 , 8856 
 837 , 8805 
 397 , 8742 
 1442 , 8730 
 249 , 8693 
 1619 , 8670 
 2078 , 8663 
 812 , 8658 
 1127 , 8608 
 2114 , 8602 
 1359 , 8582 
 1614 , 8563 
 1786 , 8530 
