"SPECIES: common name","Tilapia, cichlid"
"SPECIES: Latin  name","Oreochromis spilurus"
"RETINAL CELL TYPE NAME: as published","biplexiform RGCs"
"OTHER MOSAICS in same sampling field","outer alpha"
"PRIMARY CITATION for these mosaics","Cook and Becker (1991) J Comp Neurol 306: 668-684"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7A"
"RETINAL LOCATION of sampling field","almost all"
"NUMBER OF CELLS",89
"AREA OF SAMPLED FIELD (sq mm)",19.62
"TOTAL RETINAL AREA (sq mm)",22.21
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Fish of standard length 51 mm, right eye HRP-labelled from optic nerve"
"X","Y"
 5238 , 8977 
 4679 , 8847 
 5840 , 8724 
 4834 , 8541 
 2643 , 8526 
 5286 , 8119 
 1896 , 8108 
 2428 , 8036 
 6529 , 7929 
 3891 , 7912 
 7035 , 7848 
 6127 , 7656 
 5531 , 7647 
 3969 , 7608 
 2291 , 7601 
 1846 , 7552 
 1451 , 7482 
 3610 , 7350 
 2920 , 7286 
 5120 , 7269 
 6327 , 7264 
 4444 , 7253 
 1855 , 7129 
 2294 , 7089 
 5718 , 7086 
 7107 , 6996 
 4073 , 6987 
 6213 , 6924 
 3534 , 6882 
 3034 , 6879 
 5429 , 6668 
 1891 , 6668 
 2681 , 6655 
 6559 , 6635 
 7360 , 6623 
 1401 , 6568 
 2217 , 6480 
 1668 , 6436 
 4466 , 6415 
 4057 , 6377 
 3075 , 6376 
 4769 , 6313 
 1087 , 6311 
 5877 , 6247 
 1366 , 6172 
 2546 , 6125 
 2231 , 6121 
 4979 , 6119 
 6180 , 6034 
 2770 , 6003 
 2969 , 5878 
 1982 , 5872 
 1213 , 5844 
 6589 , 5732 
 2918 , 5607 
 2609 , 5358 
 3062 , 5340 
 2869 , 5310 
 5941 , 5290 
 7047 , 5249 
 1998 , 5072 
 2840 , 4987 
 2330 , 4950 
 6662 , 4940 
 3090 , 4934 
 1826 , 4881 
 1401 , 4866 
 1156 , 4780 
 2111 , 4772 
 3384 , 4516 
 988 , 4483 
 1390 , 4479 
 2537 , 4398 
 2925 , 4365 
 1852 , 4298 
 6302 , 4082 
 3403 , 4017 
 1587 , 4014 
 2468 , 3917 
 2892 , 3905 
 1980 , 3813 
 2170 , 3665 
 1767 , 3615 
 1396 , 3466 
 2604 , 3320 
 3132 , 3196 
 2267 , 3171 
 1896 , 2984 
 2762 , 2930 
