"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","alpha-a"
"OTHER MOSAICS in same sampling field","alpha-ab, biplexiform"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 8A, Table 1"
"RETINAL LOCATION of sampling field","left eye, VT region avoiding area retinae temporalis"
"NUMBER OF CELLS",39
"AREA OF SAMPLED FIELD (sq mm)",2.28
"TOTAL RETINAL AREA (sq mm)",32.69
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND and correlogram/DRP analysis data"
"X","Y"
 8094 , 5614 
 9561 , 5548 
 9206 , 5425 
 9391 , 5398 
 8319 , 5398 
 9608 , 5389 
 8134 , 5326 
 9259 , 5159 
 7758 , 5110 
 8197 , 5099 
 9477 , 5092 
 8013 , 5007 
 8997 , 4955 
 7793 , 4913 
 9534 , 4886 
 9224 , 4821 
 8042 , 4792 
 7452 , 4790 
 7759 , 4768 
 8860 , 4605 
 9322 , 4603 
 7397 , 4584 
 7696 , 4502 
 8569 , 4477 
 9222 , 4448 
 8916 , 4360 
 9114 , 4153 
 8406 , 4087 
 8912 , 3979 
 8176 , 3976 
 7919 , 3916 
 9206 , 3856 
 8526 , 3851 
 8098 , 3822 
 7923 , 3692 
 8779 , 3656 
 8227 , 3607 
 8273 , 3429 
 8426 , 3412 
