"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","excluding visual streak"
"NUMBER OF CELLS",586
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Non-streak, AOS-projecting RGCs, HRP-labelled from nBOR, used to derive the DRP in Fig. 3D (see Methods)"
"X","Y"
 5786 , 14048 
 4376 , 13863 
 4163 , 13655 
 5991 , 13554 
 5434 , 13475 
 5214 , 13474 
 6567 , 13447 
 5653 , 13400 
 5177 , 13392 
 4135 , 13294 
 5027 , 13283 
 5590 , 13248 
 4692 , 13221 
 4965 , 13076 
 6439 , 12955 
 6794 , 12876 
 5567 , 12856 
 4616 , 12802 
 7452 , 12785 
 5620 , 12775 
 4273 , 12758 
 6324 , 12720 
 6694 , 12719 
 4832 , 12697 
 8037 , 12695 
 5455 , 12688 
 2565 , 12600 
 6081 , 12539 
 7740 , 12526 
 2193 , 12489 
 7346 , 12484 
 2377 , 12483 
 5524 , 12480 
 6514 , 12466 
 6175 , 12465 
 1536 , 12439 
 4256 , 12436 
 1803 , 12367 
 6849 , 12332 
 5979 , 12311 
 5246 , 12310 
 4638 , 12271 
 6909 , 12229 
 7202 , 12224 
 5416 , 12215 
 6803 , 12176 
 5730 , 12102 
 4074 , 12040 
 4830 , 11967 
 5196 , 11958 
 4269 , 11955 
 2993 , 11940 
 2803 , 11909 
 6022 , 11866 
 6332 , 11843 
 5207 , 11834 
 5841 , 11827 
 5411 , 11805 
 5813 , 11804 
 4043 , 11803 
 1373 , 11797 
 2494 , 11777 
 2106 , 11735 
 4905 , 11725 
 2931 , 11717 
 4883 , 11685 
 5532 , 11665 
 5294 , 11606 
 5615 , 11605 
 2274 , 11601 
 5476 , 11597 
 2695 , 11585 
 587 , 11545 
 4552 , 11544 
 2209 , 11464 
 1871 , 11464 
 2051 , 11430 
 4497 , 11429 
 4064 , 11417 
 5426 , 11407 
 5230 , 11401 
 4189 , 11283 
 1739 , 11277 
 3574 , 11272 
 2107 , 11254 
 4270 , 11235 
 5097 , 11233 
 4946 , 11183 
 2567 , 11167 
 3467 , 11162 
 2216 , 11160 
 2862 , 11156 
 4926 , 11143 
 2895 , 11139 
 4931 , 11103 
 4095 , 11095 
 2548 , 11089 
 4505 , 11070 
 3193 , 11056 
 4620 , 10986 
 4496 , 10952 
 1345 , 10893 
 3076 , 10855 
 1712 , 10841 
 4427 , 10828 
 3499 , 10806 
 1008 , 10786 
 3405 , 10755 
 735 , 10723 
 1469 , 10719 
 2419 , 10716 
 4132 , 10695 
 2194 , 10694 
 2696 , 10691 
 2930 , 10667 
 2699 , 10650 
 3675 , 10592 
 1174 , 10586 
 3039 , 10535 
 1993 , 10526 
 1675 , 10521 
 3380 , 10493 
 2787 , 10467 
 1446 , 10460 
 2389 , 10459 
 1958 , 10452 
 3231 , 10400 
 3099 , 10336 
 9620 , 10330 
 2950 , 10328 
 10865 , 10285 
 9872 , 10282 
 3259 , 10275 
 3303 , 10262 
 3465 , 10249 
 1622 , 10231 
 2471 , 10216 
 9129 , 10210 
 10092 , 10208 
 11149 , 10192 
 8642 , 10189 
 2193 , 10189 
 9713 , 10166 
 10597 , 10149 
 8809 , 10141 
 10421 , 10140 
 9996 , 10138 
 9949 , 10125 
 8402 , 10125 
 8826 , 10123 
 8225 , 10121 
 3096 , 10096 
 9213 , 10077 
 10779 , 10076 
 7975 , 10059 
 9531 , 10035 
 8420 , 10032 
 9135 , 10001 
 2580 , 10000 
 1801 , 9995 
 8482 , 9995 
 7770 , 9991 
 10428 , 9986 
 9805 , 9963 
 8149 , 9958 
 7943 , 9952 
 8799 , 9948 
 10474 , 9942 
 11552 , 9918 
 2122 , 9915 
 1864 , 9905 
 8944 , 9895 
 7592 , 9884 
 8257 , 9879 
 7780 , 9875 
 2151 , 9862 
 889 , 9853 
 2490 , 9825 
 7512 , 9822 
 8396 , 9799 
 8738 , 9781 
 11658 , 9753 
 8586 , 9749 
 9880 , 9747 
 2369 , 9733 
 8235 , 9713 
 9205 , 9700 
 7458 , 9674 
 7890 , 9673 
 2208 , 9672 
 2008 , 9660 
 11222 , 9637 
 7727 , 9634 
 7082 , 9599 
 8358 , 9573 
 9486 , 9571 
 7339 , 9569 
 8870 , 9569 
 993 , 9567 
 9375 , 9530 
 10318 , 9522 
 11236 , 9520 
 6889 , 9478 
 8545 , 9475 
 10970 , 9474 
 1715 , 9472 
 7053 , 9470 
 7953 , 9465 
 11958 , 9456 
 7093 , 9446 
 7580 , 9435 
 9548 , 9434 
 6890 , 9410 
 9050 , 9406 
 11829 , 9379 
 8869 , 9376 
 322 , 9349 
 10211 , 9316 
 6632 , 9316 
 10105 , 9312 
 7209 , 9300 
 458 , 9298 
 7911 , 9295 
 6507 , 9257 
 6654 , 9236 
 954 , 9234 
 8599 , 9230 
 10613 , 9226 
 934 , 9207 
 10759 , 9202 
 7330 , 9201 
 7739 , 9201 
 8155 , 9197 
 763 , 9196 
 10071 , 9193 
 1292 , 9191 
 7499 , 9184 
 10284 , 9172 
 6821 , 9149 
 9133 , 9149 
 10249 , 9131 
 8180 , 9108 
 10617 , 9106 
 6887 , 9085 
 9272 , 9078 
 9445 , 9075 
 7140 , 9072 
 9336 , 9069 
 6136 , 9035 
 6874 , 9030 
 6989 , 9030 
 6394 , 9017 
 740 , 9014 
 7759 , 8989 
 6603 , 8983 
 11554 , 8976 
 9098 , 8956 
 6334 , 8955 
 6355 , 8949 
 9864 , 8948 
 8290 , 8932 
 11250 , 8929 
 8697 , 8926 
 7544 , 8900 
 10578 , 8879 
 5925 , 8868 
 5898 , 8855 
 6022 , 8850 
 6734 , 8838 
 10331 , 8824 
 6162 , 8819 
 7792 , 8805 
 11087 , 8803 
 10184 , 8792 
 6443 , 8785 
 10310 , 8776 
 417 , 8774 
 7150 , 8766 
 5853 , 8761 
 11443 , 8749 
 6122 , 8722 
 9786 , 8704 
 8789 , 8686 
 6817 , 8686 
 6907 , 8673 
 6311 , 8649 
 8112 , 8644 
 7706 , 8642 
 6631 , 8640 
 5662 , 8636 
 10591 , 8628 
 5955 , 8621 
 7371 , 8616 
 8986 , 8609 
 6105 , 8571 
 7000 , 8556 
 8298 , 8526 
 5714 , 8516 
 8022 , 8501 
 5201 , 8473 
 6056 , 8463 
 5591 , 8454 
 7275 , 8454 
 10079 , 8450 
 5851 , 8449 
 7121 , 8437 
 6906 , 8424 
 5926 , 8418 
 6513 , 8396 
