"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","alpha-a"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7B, Tables 1 and 2"
"RETINAL LOCATION of sampling field","left eye, dorsal region"
"NUMBER OF CELLS",205
"AREA OF SAMPLED FIELD (sq mm)",2.786
"TOTAL RETINAL AREA (sq mm)",27.85
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND and correlogram/DRP analysis data"
"X","Y"
 5266 , 6975 
 6066 , 6974 
 5731 , 6973 
 5425 , 6946 
 5922 , 6909 
 5594 , 6907 
 4478 , 6907 
 4162 , 6903 
 6196 , 6903 
 4894 , 6893 
 5117 , 6892 
 6070 , 6871 
 5832 , 6857 
 6161 , 6852 
 5286 , 6838 
 5060 , 6838 
 4353 , 6825 
 4621 , 6816 
 6306 , 6808 
 5471 , 6807 
 3978 , 6788 
 6213 , 6786 
 5662 , 6786 
 4224 , 6771 
 5896 , 6769 
 5344 , 6764 
 4980 , 6750 
 5150 , 6749 
 4500 , 6745 
 4830 , 6741 
 5047 , 6732 
 5732 , 6729 
 3899 , 6719 
 6121 , 6718 
 4636 , 6714 
 4373 , 6705 
 4111 , 6699 
 6219 , 6694 
 5590 , 6688 
 6347 , 6682 
 6037 , 6680 
 4838 , 6664 
 5894 , 6663 
 5081 , 6660 
 6116 , 6654 
 4968 , 6648 
 5761 , 6645 
 6842 , 6636 
 3777 , 6613 
 5354 , 6612 
 4525 , 6610 
 4005 , 6604 
 4828 , 6594 
 4264 , 6589 
 6300 , 6578 
 6681 , 6577 
 7014 , 6564 
 6130 , 6561 
 6451 , 6561 
 5873 , 6559 
 4630 , 6553 
 5513 , 6551 
 7143 , 6549 
 6024 , 6547 
 3833 , 6543 
 5777 , 6528 
 4882 , 6518 
 5144 , 6504 
 5075 , 6502 
 4737 , 6501 
 4385 , 6500 
 5316 , 6494 
 4155 , 6489 
 6929 , 6487 
 7195 , 6469 
 6249 , 6467 
 3728 , 6461 
 6485 , 6461 
 6353 , 6452 
 4539 , 6449 
 5923 , 6449 
 5606 , 6436 
 4027 , 6428 
 6638 , 6426 
 4299 , 6424 
 6818 , 6422 
 6920 , 6402 
 4929 , 6401 
 5025 , 6378 
 5410 , 6373 
 6186 , 6369 
 4826 , 6369 
 6490 , 6368 
 6736 , 6368 
 4660 , 6361 
 4416 , 6357 
 3885 , 6353 
 4196 , 6351 
 5149 , 6347 
 4753 , 6346 
 3617 , 6346 
 6068 , 6345 
 7119 , 6341 
 4097 , 6340 
 5900 , 6340 
 5630 , 6327 
 4299 , 6321 
 5314 , 6316 
 3717 , 6311 
 4002 , 6299 
 5072 , 6298 
 6329 , 6280 
 4546 , 6279 
 6597 , 6279 
 4903 , 6279 
 6862 , 6276 
 7035 , 6273 
 3786 , 6260 
 6197 , 6257 
 5773 , 6256 
 5250 , 6250 
 5442 , 6244 
 5936 , 6239 
 5660 , 6236 
 6748 , 6234 
 3604 , 6228 
 5137 , 6227 
 4947 , 6221 
 7180 , 6217 
 5019 , 6214 
 6300 , 6205 
 6419 , 6194 
 4213 , 6190 
 6936 , 6189 
 3752 , 6180 
 6190 , 6172 
 5709 , 6172 
 6587 , 6166 
 4021 , 6162 
 4875 , 6159 
 5303 , 6154 
 5613 , 6153 
 7064 , 6148 
 5486 , 6141 
 4781 , 6141 
 3677 , 6139 
 4318 , 6133 
 5137 , 6132 
 5053 , 6127 
 5919 , 6125 
 3936 , 6116 
 6804 , 6113 
 6474 , 6110 
 4185 , 6108 
 6967 , 6089 
 6121 , 6086 
 4091 , 6084 
 5679 , 6083 
 4931 , 6082 
 4653 , 6079 
 6569 , 6071 
 6248 , 6064 
 5201 , 6063 
 6871 , 6058 
 4402 , 6047 
 5079 , 6046 
 3741 , 6043 
 6454 , 6023 
 6003 , 6022 
 6711 , 6022 
 7112 , 6021 
 5794 , 6008 
 3872 , 5993 
 5674 , 5983 
 6250 , 5972 
 6962 , 5969 
 4077 , 5956 
 6802 , 5940 
 6573 , 5913 
 4217 , 5912 
 6316 , 5904 
 6431 , 5900 
 3970 , 5898 
 7216 , 5892 
 6757 , 5878 
 7058 , 5869 
 6640 , 5868 
 6128 , 5862 
 6902 , 5857 
 4133 , 5853 
 6564 , 5793 
 6452 , 5790 
 7184 , 5786 
 4030 , 5784 
 6794 , 5784 
 6203 , 5734 
 6998 , 5700 
 7153 , 5686 
 6302 , 5672 
 6858 , 5616 
 7207 , 5587 
 7020 , 5557 
 6724 , 5512 
 6860 , 5470 
 7108 , 5460 
